,Date,ca_mnt,ca_fx,mnt_usd,ca_fx_usd,mnt_usd_000,ca_mnt_000,ca_fx_usd_000,ca_fx_000
100,2012-05,1131733.57,761212.56,1316,578.4289969604864,1.316,1.13173357,1.7352869908814594,0.76121256
101,2012-06,1116482.28,884638.21,1342.23,659.0809399283282,1.34223,1.11648228,1.9772428197849847,0.88463821
102,2012-07,1053741.02,872492.71,1349.1,646.7220443258469,1.3491,1.05374102,1.9401661329775406,0.87249271
103,2012-08,1074910.59,896076.88,1381.99,648.3960665417261,1.38199,1.07491059,1.9451881996251783,0.89607688
104,2012-09,1089658.71,869634.08,1394.47,623.6305406355102,1.39447,1.08965871,1.8708916219065308,0.86963408
105,2012-10,1061412.89,887282.32,1397.28,635.0068132371464,1.39728,1.06141289,1.9050204397114392,0.88728232
106,2012-11,1043041.95,875994.41,1397.28,626.9283250314897,1.39728,1.0430419499999999,1.8807849750944694,0.87599441
107,2012-12,1183251.07,856893.46,1392.1,615.5401623446592,1.3921,1.18325107,1.8466204870339773,0.85689346
108,2013-01,1048050.56,821832.23,1392.56,590.159296547366,1.39256,1.04805056,1.7704778896420978,0.8218322299999999
109,2013-02,998389,800436.52,1402.15,570.8636879078558,1.40215,0.998389,1.7125910637235675,0.80043652
110,2013-03,1088442.92,819686.76,1410.32,581.206222701231,1.41032,1.0884429199999999,1.743618668103693,0.81968676
111,2013-04,1121038.89,811455.12,1436.12,565.0329498927666,1.4361199999999998,1.12103889,1.6950988496783,0.81145512
112,2013-05,1154190.33,986859.89,1442.2,684.2739495215643,1.4422000000000001,1.15419033,2.052821848564693,0.98685989
113,2013-06,1400429.37,932019.25,1446.17,644.474197362689,1.4461700000000002,1.4004293700000001,1.9334225920880668,0.93201925
114,2013-07,1307470.64,914793.59,1499.6,610.0250666844493,1.4995999999999998,1.3074706399999998,1.8300752000533476,0.9147935899999999
115,2013-08,1281312.89,1085526.1,1616.98,671.3293299855286,1.61698,1.28131289,2.013987989956586,1.0855261
116,2013-09,1357693.29,1133241.43,1646.48,688.2813213643651,1.64648,1.35769329,2.0648439640930953,1.13324143
117,2013-10,1299106.51,1085369.45,1716.28,632.3964912485142,1.71628,1.29910651,1.8971894737455424,1.08536945
118,2013-11,1245101.54,1081917.65,1741.71,621.1812816140459,1.74171,1.24510154,1.863543844842138,1.0819176499999998
119,2013-12,1444913.83,964232.7,1659.34,581.0941097062688,1.6593399999999998,1.4449138300000002,1.7432823291188067,0.9642326999999999
120,2014-01,1305160.37,1086476.03,1723.22,630.491771218997,1.72322,1.30516037,1.891475313656991,1.08647603
121,2014-02,1198019.67,1139355.98,1752.38,650.1763202045217,1.75238,1.1980196699999999,1.9505289606135654,1.13935598
122,2014-03,1150208.09,1025206.93,1782.01,575.3093024169337,1.78201,1.15020809,1.7259279072508014,1.02520693
123,2014-04,1221737.99,1158871.32,1796.19,645.1830374292252,1.79619,1.22173799,1.9355491122876756,1.15887132
124,2014-05,1199183.04,1273384.52,1818.65,700.181189343744,1.81865,1.19918304,2.100543568031232,1.27338452
125,2014-06,1246581.93,1100939.81,1825.74,603.010182172708,1.82574,1.2465819299999998,1.8090305465181242,1.10093981
126,2014-07,1204511.68,1258737.39,1870.92,672.7906003463536,1.8709200000000001,1.20451168,2.018371801039061,1.2587373899999998
127,2014-08,1228839.25,1293273.25,1811.03,714.1092361805161,1.81103,1.22883925,2.142327708541548,1.29327325
128,2014-09,1262161.55,1260422.32,1840.91,684.6735147291286,1.84091,1.26216155,2.0540205441873853,1.26042232
129,2014-10,1215856.68,1462660.37,1862.36,785.380039304968,1.8623599999999998,1.21585668,2.356140117914904,1.46266037
130,2014-11,1214110.38,1379158.39,1895.17,727.722784763372,1.89517,1.21411038,2.183168354290116,1.37915839
131,2014-12,1258725.22,1433085.33,1888.44,758.8725773654445,1.8884400000000001,1.2587252199999999,2.2766177320963332,1.4330853300000002
